gene_id	gene_short_name	GS-1_FPKM	GS-2_FPKM	GS-3_FPKM	CK-1_FPKM	CK-2_FPKM	CK-3_FPKM	M-1_FPKM	M-2_FPKM	M-3_FPKM	GS-1_count	GS-2_count	GS-3_count	CK-1_count	CK-2_count	CK-3_count	M-1_count	M-2_count	M-3_count
230753	Thrap3	41.4814	42.8574	43.0762	42.8373	42.9719	42.0391	41.5584	40.8814	40.4876	6486.46	6797.97	6758.03	6825.03	6927.06	6634.68	6487.62	6494.84	6571.13
21834	Thrb	4.96791	3.7845	5.44131	3.47031	2.46464	5.48153	5.78279	4.93968	4.8595	895.277	689.635	959.157	614.876	457.438	976.018	990.75	874.571	836.703
21835	Thrsp	22.5974	8.6701	12.6209	3.18293	7.85931	14.3899	6.57259	64.9849	121.026	664.299	256.377	368.531	95.8128	234.253	430.794	197.123	1932.12	3700.77
56229	Thsd1	12.2838	12.3905	12.3437	13.1321	7.79509	12.7964	14.5852	12.0838	10.214	1636.89	1648.57	1629.1	1743.23	1043.99	1713.08	1918.87	1599.61	1349.17
207596	Thsd4	4.10144	3.26327	3.65217	3.42076	1.61263	4.04956	4.01918	3.88709	4.5176	1174.93	940.05	1054.34	981.383	464.816	1161.13	1159.13	1105.76	1283.42
330267	Thsd7a	0.886058	0.611682	0.806938	0.631957	0.378324	0.757825	0.919515	0.808982	0.857702	300.653	210.667	264.806	212.09	132.805	254.662	296.712	269.553	279.201
210417	Thsd7b	0.0510742	0.0424888	0.0473203	0.0448689	0.0145235	0.0895166	0.045141	0.100077	0.117889	9.54453	7.94969	8.54211	8.37199	2.76676	16.8279	8.21347	18.6916	21.6156
105663	Thtpa	6.73483	6.73444	5.88379	6.63808	6.27801	7.36439	7.13073	7.62365	7.3546	538.311	542.566	455.173	533.947	510.929	593.464	560.569	606.986	583.62
233802	Thumpd1	10.5961	10.937	10.7689	11.9483	13.0714	11.0453	11.3021	11.1312	11.0996	871.415	912.226	851.771	984.174	1111.32	912.072	892.188	907.035	891.642
72167	Thumpd2	2.33739	2.18923	2.67547	2.77354	2.61294	2.22574	2.81736	2.73079	2.44737	126.942	121.233	142.775	150.696	146.639	121.161	150.923	150.517	135.097
14911	Thumpd3	11.2032	11.8942	11.8802	12.8341	13.6258	11.2183	12.3719	10.9834	11.7109	783.606	843.66	800.518	892.082	999.724	777.449	822.374	767.34	803.379
21838	Thy1	5.29043	5.91876	4.91194	5.36966	13.2349	5.03439	7.18839	6.27825	6.72392	257.702	289.17	242.84	263.253	649.267	247.931	353.179	304.968	326.035
77862	Thyn1	5.14191	6.67673	5.92384	7.0672	10.0985	5.02859	5.70652	5.11692	6.66253	151.758	199.736	179.384	208.37	303.422	146.964	169.403	151.5	197.242
21841	Tia1	11.0849	12.1456	12.3746	11.5596	10.5007	11.6379	13.1521	11.9481	11.6358	1323.83	1463.74	1397.25	1333.94	1297.61	1351.84	1435.3	1372.36	1280.72
21843	Tial1	15.1191	13.0152	16.8908	14.0816	11.4981	12.5508	17.0326	14.3153	13.632	1847.82	1609.81	1964.69	1668.82	1459.01	1492.07	1900.39	1684.21	1517.59
21844	Tiam1	5.14553	6.14811	5.71537	5.10023	9.51788	5.38068	7.253	6.57897	7.30756	1002.18	1071.22	1042.14	976.732	1769.81	968.165	1221.75	1197.25	1408.61
24001	Tiam2	1.09316	0.793289	1.04559	0.892197	0.777859	0.856126	0.749548	1.19076	1.02646	219.524	159.987	207.451	180.463	158.628	172.766	149.896	240.04	208.05
106759	Ticam1	3.77901	3.82736	4.06943	4.14171	5.18698	3.47338	3.51566	3.10422	3.3707	320.696	323.95	352.667	352.554	438.993	298.415	304.925	262.666	284.605
